app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
289070,0,0,2020-05-16,false,299.7,5441648,79999
289070,0,0,2022-04-12,true,485.3,5477739,80000
1172620,0,0,2020-06-08,true,329.4,5514635,80001
534380,0,0,2022-02-26,false,157.2,5549276,80002
386360,0,0,2020-04-11,true,20.8,5731769,80003
1151340,0,0,2022-11-08,true,264.7,5763636,80004
435150,0,0,2021-01-19,true,6.6,5816498,80005
284160,0,0,2019-06-29,true,277.7,5856451,80006
578080,0,0,2019-02-14,true,352.8,6058056,80007
582660,0,0,2022-03-29,false,9.0,6189964,80008
394360,0,0,2019-11-11,true,731.3,6200323,80009
381210,0,0,2020-03-10,true,363.1,6342020,80010
289070,0,0,2019-11-09,true,143.2,6361381,80011
1938090,0,0,2022-11-16,true,61.9,6416714,80012
275850,0,0,2020-12-02,true,17.2,6421387,80013
377160,0,0,2020-09-14,true,645.4,6457815,80014
1172620,0,0,2020-07-30,true,136.2,6467062,80015
1938090,0,0,2022-11-25,true,184.6,6541637,80016
1419170,0,0,2021-06-27,true,49.1,6581679,80017
238960,2,0,2016-11-24,true,856.8,6603033,80018
851850,0,0,2021-10-10,true,30.1,6604998,80019
739630,2,0,2020-10-19,true,65.1,6617507,80020
304390,0,0,2020-02-14,true,3.4,6721224,80021
1401590,0,0,2022-10-22,true,184.7,6041517,80022
107410,0,0,2016-11-25,true,308.4,6706575,80023
1085660,0,0,2021-03-27,true,378.7,6784403,80024
386360,0,0,2016-03-05,true,62.5,8094,80025
1172470,0,0,2021-07-26,true,203.2,28041,80026
1599340,0,0,2022-02-14,true,71.5,40404,80027
275850,0,0,2020-08-08,true,245.5,43983,80028
252490,0,0,2022-12-26,true,925.3,74272,80029
1250410,7,0,2021-09-15,false,310.8,98699,80030
518790,0,0,2022-10-09,true,5.3,133488,80031
1449850,0,0,2022-05-18,true,5.1,173133,80032
250900,0,0,2021-07-07,true,706.0,213287,80033
304390,0,0,2022-08-09,true,88.2,214090,80034
1794680,2,0,2022-01-29,true,184.2,273423,80035
1144200,0,0,2021-12-26,true,56.0,354431,80036
107410,0,0,2022-08-07,true,941.6,466529,80037
1938090,0,0,2022-11-09,true,165.1,3980119,80038
270880,0,0,2022-09-04,true,18.3,3986005,80039
312520,0,0,2018-11-18,true,9.5,4012795,80040
1144200,0,0,2022-11-27,true,7.0,4018139,80041
294100,0,0,2019-12-24,true,738.9,4124963,80042
1583230,0,0,2022-12-24,true,13.8,4172635,80043
394360,0,0,2019-10-24,true,375.6,4176196,80044
306130,0,0,2021-05-05,true,133.0,4195086,80045
1244460,0,0,2022-02-04,true,97.1,4209632,80046
1144200,0,0,2021-12-24,true,20.7,4261517,80047
1286830,0,0,2021-06-15,true,416.6,4278410,80048
4000,2,0,2017-12-03,true,586.0,4289251,80049
973230,0,0,2022-12-19,true,1.9,4338471,80050
1091500,0,7,2020-12-10,true,39.5,4339810,80051
251570,81,10,2016-04-08,false,537.5,4419910,80052
1938090,0,0,2022-11-27,false,60.1,4497753,80053
518790,0,0,2017-05-20,true,142.7,4516580,80054
275850,0,0,2021-01-08,true,72.4,4588990,80055
1384160,0,0,2021-06-20,true,48.1,4653148,80056
1794680,0,0,2022-11-22,true,5.0,4672469,80057
238960,0,0,2022-12-01,true,215.3,4678546,80058
570,2,0,2013-06-20,true,618.5,4682974,80059
1086940,2,0,2020-10-08,true,50.9,4720178,80060
252490,0,0,2020-12-07,true,106.3,4761464,80061
289070,0,0,2017-02-19,false,122.2,4928622,80062
1599340,0,0,2022-02-20,false,29.9,4983736,80063
236850,5,0,2020-05-03,false,536.0,5106535,80064
289070,0,0,2022-07-14,true,173.2,5144429,80065
1361210,4,0,2022-12-13,false,20.6,5165628,80066
620980,0,0,2020-11-22,true,10.7,5221487,80067
1361210,3,0,2022-12-05,false,77.9,5233400,80068
730,2,0,2017-11-24,true,799.6,5240120,80069
1384160,0,0,2021-07-17,true,22.9,5451346,80070
518790,0,0,2022-08-15,true,76.5,5582545,80071
381210,3,0,2021-05-19,false,608.7,5681729,80072
1113120,2,0,2022-12-08,false,5.4,5691650,80073
1245620,0,0,2022-03-01,true,170.6,5822086,80074
489830,0,0,2016-10-28,false,107.5,5891697,80075
976730,0,0,2021-07-13,true,29.0,5987733,80076
976730,0,0,2022-05-05,false,29.2,6075716,80077
107410,0,0,2020-09-16,true,159.7,6156264,80078
1599340,0,0,2022-02-24,true,592.7,6176512,80079
107410,0,0,2015-10-03,true,67.9,6340213,80080
306130,2,0,2020-01-24,false,14.3,6408394,80081
1196590,2,0,2021-05-07,true,23.4,6420021,80082
620980,0,0,2019-11-11,true,18.6,6425760,80083
1938090,0,0,2022-10-28,true,90.9,6556612,80084
244850,0,0,2014-01-17,true,313.9,6660846,80085
534380,0,0,2022-07-30,true,165.0,6722926,80086
270880,0,0,2020-11-01,true,148.6,6777520,80087
1085660,0,0,2021-09-12,true,172.8,4902008,80088
1174180,0,0,2020-12-08,true,78.7,4906101,80089
1086940,0,0,2020-10-08,true,25.1,6069657,80090
